,GP,MIN per game,AST per game,Passes per game,Total AST,FT Assists per game,Secondary Assists per game,Assist opportunities per game,Points created by assist per game,Points Created by AST Per 48 Min
Player,,,,,,,,,,
Byron Mullens (LAC),27,6.2,0.2,7.3,6,0,0.1,0.4,0.6,4.6
Byron Mullens (TOTAL),45,9.3,0.3,12.4,14,0,0.1,0.7,0.8,4.3
Brook Lopez (BKN),17,31.5,0.9,21.4,16,0.3,0.4,2.4,2.7,4.1
Brian Roberts (NOP),72,23.3,3.3,39.5,234,0.4,0.5,6.3,7.6,15.6
Brandon Rush (UTA),38,11.1,0.6,11.5,24,0.1,0.2,1.6,1.5,6.6
Brandon Knight (MIL),72,33.5,4.9,59.7,352,0.5,1.2,9.9,11.5,16.5
Brandon Jennings (DET),80,34.4,7.6,60.3,609,1,1.6,15.1,17,23.8
Brandon Davies (PHI),51,11.3,0.5,13.7,28,0,0.2,1.2,1.2,5.2
Brandon Bass (BOS),82,27.9,1.1,26.2,87,0,0.4,2.2,2.5,4.3
Brandan Wright (DAL),58,18.7,0.5,14.7,31,0.1,0.2,1.3,1.4,3.5
Bradley Beal (WAS),72,34.7,3.4,38,242,0.3,0.7,6.1,7.6,10.5
Boris Diaw (SAS),79,25.2,2.8,39.3,222,0.4,0.5,5.6,6.7,12.7
Blake Griffin (LAC),80,36.1,3.9,54.5,309,0.4,1.1,7.5,9.1,12.1
Bismack Biyombo (CHA),76,14,0.1,8.2,8,0,0.1,0.4,0.3,0.9
Bernard James (DAL),30,4.9,0.1,3.5,3,0,0.1,0.2,0.3,2.9
Beno Udrih (TOTAL),41,15.8,2.8,30.5,116,0.3,0.4,6.1,6.6,20.2
Beno Udrih (NYK),31,19.1,3.5,37.8,110,0.4,0.5,7.7,8.3,20.8
Beno Udrih (MEM),10,5.5,0.6,7.8,6,0.1,0.2,1,1.6,13.8
Ben McLemore (SAC),81,27,1,18.1,82,0.2,0.3,2.1,2.4,4.2
Ben Gordon (CHA),19,14.8,1.1,13.7,21,0.1,0.2,1.9,2.5,8.2
Avery Bradley (BOS),60,31.2,1.4,29.9,85,0.2,0.5,3.5,3.3,5
Austin Rivers (NOP),69,19.5,2.3,29.9,160,0.3,0.4,4.4,5.5,13.4
Austin Daye (TOTAL),22,6.8,0.4,10.6,8,0,0,1,0.8,5.5
Austin Daye (TOR),8,4.1,0.3,6.6,2,0,0,0.5,0.6,7.2
Austin Daye (SAS),14,8.3,0.4,12.9,6,0,0.5,1.2,0.9,5
Arron Afflalo (ORL),73,35.1,3.4,39.9,248,0.2,0.7,7.3,8,10.9
Aron Baynes (SAS),53,9.3,0.6,9.5,34,0.1,0.2,1,1.5,7.6
Arnett Moultrie (PHI),12,15.7,0.2,17.6,2,0,0.2,0.8,0.3,1
Arinze Onuaku (TOTAL),5,6.1,0.6,6.2,3,0,0,0,0,0
Arinze Onuaku (NOP),3,8.5,1,9.3,3,0,0,1.3,2,11.2
Arinze Onuaku (CLE),2,2.4,0,1.5,0,0,0,0,0,0
Archie Goodwin (PHX),52,10.3,0.4,9.5,20,0,0.2,0.9,0.9,4.2
Anthony Tolliver (CHA),63,20.5,0.7,18.7,41,0.1,0.3,1.6,1.7,3.9
Anthony Randolph (DEN),43,12.3,0.7,13,32,0.1,0.2,1.6,1.9,7.3
Anthony Morrow (NOP),76,18.9,0.8,10.5,59,0.1,0.1,1.3,1.8,4.6
Anthony Davis (NOP),67,35.4,1.6,33.4,105,0.1,0.4,3,3.6,4.9
Anthony Bennett (CLE),52,12.8,0.3,16.4,17,0.1,0.2,0.8,0.8,2.9
Antawn Jamison (LAC),22,11.3,0.3,16.6,7,0,0,1,0.9,3.7
Andris Biedrins (UTA),6,7.5,0,7.8,0,0,0.2,0,0,0
Andrew Nicholson (ORL),76,15.5,0.3,13.6,25,0,0.1,0.8,0.8,2.6
Andrew Bynum (CLE),24,19.8,1.1,15.8,27,0,0.2,1.8,2.5,6.1
Andrew Bynum (TOTAL),26,19.7,1.1,15.7,29,0,0.2,1.7,2.4,5.8
Andrew Bynum (IND),2,17.9,1,15,2,0,0.5,1,1,2.7
Andrew Bogut (GSW),66,26.6,1.7,32.6,111,0.2,0.6,3.3,4.1,7.3
Andrei Kirilenko (BKN),44,19,1.6,18.3,69,0.2,0.3,2.6,3.5,8.7
Andrea Bargnani (NYK),42,30.1,1.1,29.6,45,0,0.4,2.6,2.5,4
Andre Roberson (OKC),40,10,0.4,8,15,0.1,0.1,1,0.8,3.8
Andre Miller (DEN),30,19.1,3.3,27,100,0.3,0.6,6.1,7.7,19.3
Andre Miller (WAS),27,14.7,3.4,28.1,92,0.4,0.5,5.5,7.9,25.9
Andre Miller (TOTAL),57,17,3.4,27.5,192,0.3,0.6,5.8,7.8,22
Andre Iguodala (GSW),63,32.5,4.2,32,263,0.4,1.1,7,10.2,15
Andre Drummond (DET),81,32.5,0.4,26.7,35,0.1,0.2,0.9,1,1.5
Andray Blatche (BKN),72,22.1,1.5,26.2,106,0.2,0.2,2.8,3.6,7.8
Anderson Varejao (CLE),65,27.9,2.2,42.4,140,0.3,0.4,4.4,5.2,9
Amir Johnson (TOR),76,28.8,1.5,36.7,112,0.3,0.6,2.8,3.5,5.9
Amar'e Stoudemire (NYK),65,22.7,0.5,17.9,34,0,0.1,1.4,1.3,2.8
Alonzo Gee (CLE),65,15.7,0.7,15.5,47,0.1,0.3,1.8,1.7,5.2
Allen Crabbe (POR),15,6.7,0.4,5.9,6,0,0.1,1.3,1,7.2
Alexis Ajinca (NOP),56,17.1,0.7,20.4,40,0.1,0.1,1.4,1.6,4.6
Alexey Shved (MIN),63,10.6,1.1,10.5,68,0.2,0.3,2.3,2.5,11.4
Alex Len (PHX),42,8.7,0.1,9.5,4,0,0.1,0.4,0.3,1.6
Alec Burks (UTA),78,28.2,2.7,37.3,212,0.4,0.7,6,6.4,10.9
Alan Anderson (BKN),77,22.8,1,18.3,77,0.2,0.2,2.1,2.5,5.3
Al-Farouq Aminu (NOP),80,25.7,1.4,23.9,114,0.3,0.4,2.8,3.2,6
Al Jefferson (CHA),72,35.2,2.1,31.6,154,0.3,0.4,4.3,5.1,7
Al Horford (ATL),29,33.1,2.6,44.6,76,0.4,0.9,5.8,6.6,9.5
Al Harrington (WAS),33,15.1,0.8,16.7,27,0,0.3,1.5,1.8,5.9
Adonis Thomas (PHI),2,6.7,0.5,6,1,0.5,0,0.5,1,7.2
Adonis Thomas (ORL),4,6.1,0.5,2.8,2,0,0,0.8,1,7.8
Adonis Thomas (TOTAL),6,6.3,0.5,3.8,3,0,0,0.7,1,7.6
Aaron Gray (TOTAL),36,9.8,0.6,11.9,21,0,0,1.3,1.3,6.3
Aaron Gray (TOR),3,4.6,0.7,8,2,0,0,1.3,1.7,17.3
Aaron Gray (SAC),33,10.2,0.6,12.2,19,0.1,0.2,1.3,1.3,6
Aaron Brooks (DEN),29,29.2,5.2,35.6,150,0.6,1,9.9,12,19.7
Aaron Brooks (HOU),43,16.8,1.9,22.6,83,0.5,0.5,3.9,4.9,14.1
Aaron Brooks (TOTAL),72,21.8,3.2,27.8,233,0.5,0.7,6.3,7.8,17.1
A.J. Price (MIN),28,3.6,0.5,6.4,13,0.2,0,1,1.3,16.7
